cinv;cislo;budt;mist;osc;zapl;nazev;poh;nomenkl;kat;typmajet;ucet;datzar;trida;mj;cenamj;czcpa;skp;jkpov;druh;cmnoz;ccena;fizd;hjz;dod;cdokpor;cdok;vyrcis;rok;evcis;cinnost;zak;najz;naji;naj;pracn;datpok;kontr;zpinv;zptck;pozn;obr;prilohy
101;D01090159;903;1807;;18.9.2025;nůžky záchranářské;861;970;;1;81;31.12.2009;;ks;1667,15;32.50.50;33.10;;;1,000;1667,15;;;;ZD1090159;P250290;;2009;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01090160;903;9098;;1.12.2022;nůžky záchranářské;861;970;;1;81;31.12.2009;;ks;1667,15;32.50.50;33.10;;;1,000;1667,15;;;;ZD1090160;P220279;;2009;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01090171;903;221;;23.4.2024;věšák stojací;861;1452;;1;85;31.12.2009;;ks;2258,00;31.09.13;36.1;;;1,000;2258,00;;;25723146;ZD1090171;P240126;;2009;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01090172;903;403;;23.10.2023;věšák stojací;861;1452;;1;85;31.12.2009;;ks;2258,00;31.09.13;36.1;;;1,000;2258,00;;;25723146;ZD1090172;P230306;;2009;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01090173;903;403;;1.12.2022;skříňka přístavná policová;861;1452;;1;85;31.12.2009;;ks;3006,00;31.09.13;36.1;;;1,000;3006,00;;;25723146;ZD1090173;P220313;;2009;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01110030;903;2810;;20.3.2026;vrtačka intraoseální;861;;;1;81;12.5.2011;;ks;7543,33;32.50.50;33.10;;;1,000;7543,33;;;;ZD1110030;P260091;;2011;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01110051;903;72EP;;29.12.2025;matrace vak. MEBER;861;;;1;81;31.7.2011;;ks;8444,60;32.50.50;33.10;;;1,000;8444,60;;;;ZD1110051;P250415;;2011;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01110097;903;2810;;20.3.2026;úhlová dlaha na DK;861;výdejka441;;1;81;20.12.2011;;ks;1557,44;32.50.50;33.10;;;1,000;1557,44;;;;ZD1110097;P260091;;2011;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01110098;903;4807;;11.12.2024;úhlová dlaha na DK;861;výdejka441;;1;81;20.12.2011;;ks;1557,44;32.50.50;33.10;;;1,000;1557,44;;;;ZD1110098;P240442;;2011;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01110100;903;403;;1.12.2022;tlaková myčka HD 5/15C Plus;861;;;1;86;21.12.2011;;ks;12580,00;27.90.11;;;;1,000;12580,00;;;26422361;ZD1110100;P220313;;2011;;;;0,00;0,000;0,00;;;;2;2;;;
